node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	103
362	12
363	31
364	22
365	25
366	11
367	65
368	92
369	34
370	13
371	13
372	36
373	30
374	47
375	28
376	24
377	59
378	31
379	44
380	25
381	27
382	19
383	36
384	36
385	119
386	10
387	11
388	30
389	14
390	80
391	19
392	86
393	14
394	19
395	36
396	99
397	22
398	13
399	17
400	14
401	31
402	16
403	16
404	15
405	18
406	13
407	13
408	24
409	32
410	53
411	73
412	30
413	13
414	49
415	15
416	62
417	89
418	16
419	18
420	29
421	15
422	15
423	40
424	66
425	21
426	11
427	30
428	11
429	10
430	17
431	12
432	14
433	13
434	12
435	13
436	10
437	16
438	18
439	13
440	15
441	21
442	21
443	23
444	23
445	23
446	25
447	18
448	20
449	18
450	22
451	20
452	20
453	13
454	23
455	18
456	16
457	13
458	140
459	29
460	17
461	55
462	17
463	23
464	10
465	40
466	33
467	59
468	24
469	17
470	24
471	60
472	60
473	60
474	14
475	15
476	14
477	48
478	10
479	13
480	10
481	12
482	13
483	14
484	10
485	42
486	30
487	14
488	69
489	54
490	12
491	28
492	20
493	40
494	22
495	28
496	20
497	34
498	59
499	16
500	12
501	17
502	31
503	18
504	11
505	60
506	61
507	33
508	75
509	84
510	47
511	60
512	47
513	47
514	31
515	47
516	27
517	65
518	16
519	14
520	11
521	37
522	27
523	60
524	32
525	45
526	12
527	11
528	20
529	12
530	14
531	25
532	16
533	10
534	37
535	19
536	48
537	23
538	58
539	43
540	39
541	20
542	12
543	49
544	58
545	13
546	20
547	16
548	78
549	16
550	82
551	73
552	33
553	22
554	110
555	202
556	76
557	106
558	44
559	34
560	27
561	96
562	189
563	43
564	32
565	92
566	219
567	16
568	97
569	75
570	78
571	114
572	63
573	85
574	44
575	31
576	30
577	25
578	27
579	33
580	34
581	29
582	31
583	247
584	49
585	37
586	138
587	79
588	46
589	61
590	47
591	54
592	29
593	36
594	41
595	96
596	207
597	31
598	60
599	25
600	25
601	75
602	49
603	82
604	66
605	34
606	50
607	263
608	204
609	73
610	32
611	98
612	105
613	293
614	25
615	117
616	100
617	52
618	324
619	143
620	150
621	160
622	50
623	73
624	40
625	41
626	253
627	79
628	80
629	54
630	120
631	190
632	27
633	54
634	34
635	78
636	87
637	424
638	297
639	53
640	365
641	460
642	292
643	145
644	78
645	233
646	102
647	36
648	40
649	99
650	1193
651	54
652	52
653	1315
654	302
655	469
656	53
657	1453
658	89
659	406
660	1152
661	1213
662	2737
